  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00                                                                                                           0x2010F25FF05F
    3390 ns          0       0x01                                                                                                           0x20528AE021B4
    3818 ns          1       0x00                                                                                                           0x2009DF80406B
    3822 ns          1       0x01                                                                                                           0x20520BC13011
    4262 ns          2       0x00                                                                                                           0x000000000000
    4266 ns          2       0x01                                                                                                           0x000000000000
    5122 ns          4       0x00                                                                                                           0x201341A05005
    5558 ns          5       0x00                                                                                                           0x2011AB4041F3
   15046 ns         27       0x00                                                                                                           0x2019D000D1BC
   22394 ns         44       0x00                                                                                                           0x201941402176
   25854 ns         52       0x00                                                                                                           0x20193021702A
   28010 ns         57       0x00                                                                                                           0x2019513F71E6
   30190 ns         62       0x00                                                                                                           0x2019603F9028
   36218 ns         76       0x00                                                                                                           0x2000345FE1E4
