  TIME (ns)         BX       ADDR                                                                                                                     DATA
    3386 ns          0       0x00   0xBAE7C85BCF1821D2490000000000000000000000000081270C0D77FC000000000000000000000000000000000000000000000000000000000000
    3390 ns          0       0x01   0xBADC890AD217F8724800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    3818 ns          1       0x00   0xBC02C3419AE027C24800000000000000000000000000000000000002000EC4273FD0000000000000000000000000000000000000000000000000
    3822 ns          1       0x01   0xB4B9CBA8D0F80C724800000000000000000000000000000000000002003B300B6020000000000000000000000000000000000000000000000000
    4262 ns          2       0x00   0xBACBC5A5C167DEE208000804B7205000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    4266 ns          2       0x01   0xBAC945A38BC7E4E208000804B7204001000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    5122 ns          4       0x00   0xBAA8C7C82E37EEE24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
    5558 ns          5       0x00   0xBB4E48004FB806C24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   15046 ns         27       0x00   0xB4138F57820000024800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   22394 ns         44       0x00   0xB3F74F022347DFB240000000000000000000000000000000000000020001CFC26010000000000000000000000000000000000000000000000000
   25854 ns         52       0x00   0xB3430E9AC05007C24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   28010 ns         57       0x00   0xB318CE7B7E0000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   30190 ns         62       0x00   0xB3F88EDFDE9406A24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   36218 ns         76       0x00   0xBB69807FAEF022124000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
