BX = 000 Event : 1
0x00 0100000|0000110 0x1006
BX = 001 Event : 2
0x00 0001111|0011010 0x079A
0x01 0110001|0110111 0x18B7
0x02 0110010|0000110 0x1906
BX = 010 Event : 3
0x00 0001000|0000010 0x0402
0x01 0001000|0000100 0x0404
0x02 0010010|0000010 0x0902
0x03 0010010|0000100 0x0904
0x04 0010010|0000101 0x0905
0x05 0010011|0000010 0x0982
0x06 0010011|0000100 0x0984
0x07 0010011|0000101 0x0985
BX = 011 Event : 4
0x00 0110010|0110001 0x1931
0x01 0111110|0010011 0x1F13
0x02 0111111|0010011 0x1F93
0x03 1010101|0011000 0x2A98
0x04 1010101|0011001 0x2A99
0x05 1010110|0011000 0x2B18
0x06 1010110|0011001 0x2B19
0x07 1100000|0110010 0x3032
BX = 100 Event : 5
0x00 0010110|0111110 0x0B3E
0x01 0101000|0000001 0x1401
0x02 0101010|0000010 0x1502
0x03 0101100|0000010 0x1602
0x04 0110111|0001010 0x1B8A
0x05 0110111|0001011 0x1B8B
BX = 101 Event : 6
0x00 0010010|0000111 0x0907
0x01 0011000|0010001 0x0C11
0x02 0011000|0010010 0x0C12
0x03 0011000|0010101 0x0C15
0x04 0011000|0010111 0x0C17
0x05 0011000|0011010 0x0C1A
0x06 0011001|0010001 0x0C91
0x07 0011001|0010010 0x0C92
0x08 0011001|0010101 0x0C95
0x09 0011001|0010111 0x0C97
0x0a 0011001|0011010 0x0C9A
0x0b 0011101|0001110 0x0E8E
0x0c 0011110|0001110 0x0F0E
0x0d 0011111|0001110 0x0F8E
0x0e 0100000|0001110 0x100E
0x0f 0100100|0001110 0x120E
0x10 0100111|0001110 0x138E
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0001110|0000101 0x0705
0x01 0010010|0000101 0x0905
0x02 0010100|0000101 0x0A05
0x03 0010110|0000101 0x0B05
BX = 000 Event : 9
0x00 0010001|0001110 0x088E
0x01 0010001|0010101 0x0895
0x02 0010010|0111100 0x093C
0x03 0011111|0010101 0x0F95
0x04 0011111|0011000 0x0F98
0x05 0011111|0011001 0x0F99
0x06 0011111|0011010 0x0F9A
0x07 0100000|0011000 0x1018
0x08 0100110|0010010 0x1312
0x09 0100111|0010010 0x1392
0x0a 0101000|0010010 0x1412
0x0b 0101111|0111101 0x17BD
0x0c 1000101|0010110 0x2296
0x0d 1000101|0010111 0x2297
0x0e 1000101|0011011 0x229B
0x0f 1001011|0001000 0x2588
0x10 1001011|0001010 0x258A
0x11 1001011|0001110 0x258E
0x12 1001011|0010010 0x2592
0x13 1001011|0010101 0x2595
0x14 1001011|0011000 0x2598
0x15 1001011|0011001 0x2599
0x16 1001011|0011010 0x259A
0x17 1001100|0001010 0x260A
0x18 1001100|0001110 0x260E
0x19 1001100|0010010 0x2612
0x1a 1001100|0010101 0x2615
0x1b 1001100|0011000 0x2618
0x1c 1001100|0011001 0x2619
0x1d 1001100|0011010 0x261A
BX = 001 Event : 10
0x00 0010010|0001010 0x090A
0x01 0010011|0001010 0x098A
0x02 0010101|0001010 0x0A8A
0x03 0010110|0001010 0x0B0A
0x04 0011101|0001010 0x0E8A
0x05 0100001|0001010 0x108A
0x06 0100011|0001010 0x118A
0x07 0101000|0001010 0x140A
BX = 010 Event : 11
0x00 0001111|0011001 0x0799
BX = 011 Event : 12
0x00 0100001|0111011 0x10BB
BX = 100 Event : 13
0x00 0000101|0100000 0x02A0
0x01 0000101|0100010 0x02A2
0x02 0010000|1000101 0x0845
0x03 0010000|1000110 0x0846
0x04 0010000|1000111 0x0847
0x05 0010000|1001001 0x0849
0x06 0010000|1001010 0x084A
0x07 0010111|0100001 0x0BA1
0x08 0010111|0100011 0x0BA3
0x09 0011000|0100001 0x0C21
0x0a 0011001|0100001 0x0CA1
0x0b 0011001|0100011 0x0CA3
BX = 101 Event : 14
0x00 0010000|0001000 0x0808
0x01 0100110|0110010 0x1332
0x02 0100110|0110101 0x1335
0x03 0100111|0110010 0x13B2
0x04 0100111|0110101 0x13B5
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0010011|0011101 0x099D
0x01 0100100|0011011 0x121B
0x02 0110010|0010111 0x1917
0x03 0110010|0011000 0x1918
0x04 0110011|0010111 0x1997
0x05 0110011|0011000 0x1998
0x06 1000100|0011101 0x221D
BX = 000 Event : 17
0x00 0010101|0001010 0x0A8A
0x01 0010101|0001011 0x0A8B
0x02 0010111|0011101 0x0B9D
0x03 0100001|0001110 0x108E
0x04 0100010|0001110 0x110E
0x05 0110110|0001100 0x1B0C
0x06 0110110|0001101 0x1B0D
0x07 0110110|0001110 0x1B0E
0x08 1000001|0001010 0x208A
0x09 1000001|0001011 0x208B
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0010001|0001010 0x088A
0x01 0100100|0000101 0x1205
BX = 011 Event : 20
0x00 0011110|0000111 0x0F07
0x01 0011111|0000111 0x0F87
0x02 1000001|0010000 0x2090
0x03 1110101|0000111 0x3A87
BX = 100 Event : 21
0x00 0000110|0001010 0x030A
0x01 0000111|0001010 0x038A
