BX = 000 Event : 1
0x00 0011101|0001101 0x0E8D
0x01 0011101|0001110 0x0E8E
0x02 0100011|0010000 0x1190
0x03 0100100|0010000 0x1210
0x04 0100110|0010000 0x1310
0x05 0101011|0100010 0x15A2
0x06 0110000|0010000 0x1810
0x07 0110001|0010000 0x1890
0x08 0110010|0000001 0x1901
0x09 0110011|0000001 0x1981
0x0a 0110100|0000001 0x1A01
0x0b 0110110|0001101 0x1B0D
0x0c 0110110|0001110 0x1B0E
BX = 001 Event : 2
0x00 0010101|0000000 0x0A80
0x01 0010101|0000001 0x0A81
0x02 0011100|0000010 0x0E02
0x03 0011101|0000010 0x0E82
0x04 0101010|0001010 0x150A
0x05 0101011|0001010 0x158A
0x06 0101110|0001010 0x170A
0x07 0110011|0000010 0x1982
0x08 0110011|0001100 0x198C
0x09 0110100|0000010 0x1A02
0x0a 0110100|0001100 0x1A0C
0x0b 0110101|0001100 0x1A8C
0x0c 0110110|0001100 0x1B0C
BX = 010 Event : 3
0x00 0000101|0011101 0x029D
BX = 011 Event : 4
0x00 0101101|0101101 0x16AD
0x01 0101110|0101101 0x172D
0x02 1000011|0010111 0x2197
0x03 1000101|0010111 0x2297
BX = 100 Event : 5
0x00 0110101|0111101 0x1ABD
0x01 1000001|0111101 0x20BD
BX = 101 Event : 6
0x00 0111010|0000010 0x1D02
0x01 0111101|0000110 0x1E86
0x02 0111101|0001000 0x1E88
0x03 0111101|0001100 0x1E8C
0x04 0111101|0001101 0x1E8D
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0011000|0001001 0x0C09
0x01 0011001|0001001 0x0C89
0x02 0011010|0001001 0x0D09
0x03 0101110|0010001 0x1711
0x04 0101110|0010010 0x1712
0x05 0101110|0010101 0x1715
BX = 000 Event : 9
0x00 0111000|0111011 0x1C3B
0x01 0111001|0111011 0x1CBB
0x02 0111010|0111011 0x1D3B
0x03 0111110|0000110 0x1F06
0x04 1001101|1001001 0x26C9
0x05 1001101|1001010 0x26CA
BX = 001 Event : 10
0x00 0101010|0000110 0x1506
0x01 0101010|0001001 0x1509
0x02 0101010|0001011 0x150B
0x03 0101010|0001100 0x150C
BX = 010 Event : 11
0x00 0011100|0010011 0x0E13
0x01 0011100|0010101 0x0E15
0x02 0011100|0010111 0x0E17
0x03 0011100|0011000 0x0E18
0x04 0011101|0010011 0x0E93
0x05 0011101|0010101 0x0E95
0x06 0011101|0010111 0x0E97
0x07 0011101|0011000 0x0E98
0x08 0100010|0000100 0x1104
0x09 0100010|0000101 0x1105
0x0a 0100010|0000111 0x1107
0x0b 0100010|0001000 0x1108
0x0c 0100011|0000100 0x1184
0x0d 0100011|0000101 0x1185
0x0e 0100011|0000111 0x1187
0x0f 0100011|0001000 0x1188
0x10 0101111|0011101 0x179D
BX = 011 Event : 12
0x00 0101011|0001010 0x158A
0x01 0111010|0001010 0x1D0A
BX = 100 Event : 13
0x00 0011010|0011000 0x0D18
0x01 0011010|0011010 0x0D1A
0x02 0011101|0000011 0x0E83
0x03 0100001|0000011 0x1083
0x04 0100010|0000011 0x1103
0x05 0100011|0000011 0x1183
0x06 0100011|0001011 0x118B
0x07 0100011|0001111 0x118F
0x08 0100011|0010100 0x1194
0x09 0100011|0011000 0x1198
0x0a 0100011|0011010 0x119A
BX = 101 Event : 14
0x00 0011011|0010100 0x0D94
0x01 0011100|0010100 0x0E14
0x02 0110000|0110000 0x1830
0x03 0110001|0001101 0x188D
BX = 110 Event : 15
0x00 0100000|0000100 0x1004
0x01 0100100|0000100 0x1204
0x02 0101000|0000100 0x1404
0x03 0101010|0000100 0x1504
0x04 0110001|0001101 0x188D
0x05 0110001|0001110 0x188E
0x06 0110011|0000100 0x1984
0x07 0110100|0000100 0x1A04
0x08 0110111|0000100 0x1B84
0x09 0111000|0000100 0x1C04
0x0a 0111010|0001101 0x1D0D
0x0b 0111010|0001110 0x1D0E
0x0c 0111100|0000100 0x1E04
0x0d 0111110|0000100 0x1F04
BX = 111 Event : 16
0x00 0010101|0101011 0x0AAB
0x01 0011000|0101011 0x0C2B
0x02 0011001|0101011 0x0CAB
0x03 0110101|0001011 0x1A8B
0x04 0110110|0000111 0x1B07
0x05 0110110|0001000 0x1B08
0x06 0110110|0001011 0x1B0B
0x07 0110111|0001011 0x1B8B
0x08 0111110|0001011 0x1F0B
BX = 000 Event : 17
0x00 0011011|0010001 0x0D91
0x01 0011100|0010001 0x0E11
0x02 0110111|0001001 0x1B89
0x03 0110111|0010000 0x1B90
0x04 0111010|0000111 0x1D07
0x05 0111011|0000110 0x1D86
0x06 0111100|0000110 0x1E06
0x07 1000010|0000111 0x2107
BX = 001 Event : 18
0x00 0010101|0001000 0x0A88
0x01 0010110|0001000 0x0B08
BX = 010 Event : 19
0x00 0011001|0001011 0x0C8B
0x01 0011010|0010000 0x0D10
0x02 0100101|0010000 0x1290
0x03 0100110|0010000 0x1310
0x04 0100111|0010000 0x1390
0x05 0101000|0010000 0x1410
BX = 011 Event : 20
0x00 1010010|0001101 0x290D
0x01 1010011|0001101 0x298D
0x02 1010100|0001101 0x2A0D
0x03 1010110|0001101 0x2B0D
0x04 1010111|0001101 0x2B8D
0x05 1111000|0000001 0x3C01
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0101111|0001101 0x178D
0x01 0101111|0001110 0x178E
BX = 110 Event : 23
0x00 0100111|0001100 0x138C
0x01 0100111|0001110 0x138E
0x02 0110101|0100010 0x1AA2
BX = 111 Event : 24
0x00 0101110|0000011 0x1703
BX = 000 Event : 25
0x00 0101100|0000000 0x1600
0x01 0101100|0111001 0x1639
0x02 0101100|0000011 0x1603
0x03 0110100|0000011 0x1A03
0x04 0110101|0000011 0x1A83
0x05 0111000|0111000 0x1C38
0x06 0111001|0111000 0x1CB8
0x07 0111010|0111000 0x1D38
0x08 0111011|0111000 0x1DB8
0x09 1000000|0111000 0x2038
0x0a 1000000|0000100 0x2004
0x0b 1000000|0000111 0x2007
0x0c 1010001|0001111 0x288F
0x0d 1010001|0010010 0x2892
BX = 001 Event : 26
0x00 0100000|0100011 0x1023
0x01 0100010|0100011 0x1123
0x02 0100011|0100011 0x11A3
0x03 0110001|0000110 0x1886
0x04 0110010|0000110 0x1906
0x05 0110101|0010010 0x1A92
0x06 1000001|0000101 0x2085
0x07 1000011|0000101 0x2185
0x08 1000110|0000101 0x2305
0x09 1001010|1001000 0x2548
0x0a 1001010|0000101 0x2505
0x0b 1001010|0001000 0x2508
0x0c 1001010|0001100 0x250C
0x0d 1001100|0010111 0x2617
0x0e 1001100|0011000 0x2618
BX = 010 Event : 27
0x00 0001101|0101010 0x06AA
0x01 0001110|0101010 0x072A
0x02 0010100|0101010 0x0A2A
0x03 0010110|0101010 0x0B2A
0x04 0010111|0101010 0x0BAA
0x05 0011000|0101010 0x0C2A
0x06 0011001|0101010 0x0CAA
0x07 0011010|1000001 0x0D41
0x08 0011110|0001111 0x0F0F
0x09 0011110|0010000 0x0F10
0x0a 0101011|0000000 0x1580
0x0b 0110001|0001110 0x188E
0x0c 0110001|0001111 0x188F
0x0d 0110001|0010000 0x1890
0x0e 0110010|0001110 0x190E
0x0f 0110010|0001111 0x190F
0x10 0110010|0010000 0x1910
0x11 0110011|0001110 0x198E
0x12 0110011|0001111 0x198F
0x13 0110011|0010000 0x1990
0x14 0110100|0001110 0x1A0E
0x15 0110100|0001111 0x1A0F
0x16 0110100|0010000 0x1A10
0x17 0110101|0001110 0x1A8E
0x18 0110101|0001111 0x1A8F
0x19 0110101|0010000 0x1A90
0x1a 0110110|0001110 0x1B0E
0x1b 0110110|0001111 0x1B0F
0x1c 0110110|0010000 0x1B10
BX = 011 Event : 28
0x00 0100101|0011010 0x129A
0x01 0100110|0011111 0x131F
0x02 0110100|0111101 0x1A3D
0x03 0110101|0000000 0x1A80
0x04 0110101|0001001 0x1A89
0x05 0111101|0011010 0x1E9A
0x06 0111101|0011111 0x1E9F
BX = 100 Event : 29
0x00 0111011|0000010 0x1D82
0x01 0111011|0000100 0x1D84
0x02 1001011|0000010 0x2582
0x03 1001011|0000100 0x2584
BX = 101 Event : 30
0x00 0100001|0000001 0x1081
0x01 0100001|0000010 0x1082
0x02 0100010|0000001 0x1101
0x03 0100010|0000010 0x1102
0x04 0110001|0000001 0x1881
0x05 0110001|0000010 0x1882
BX = 110 Event : 31
0x00 0101101|0010100 0x1694
0x01 0101110|0010100 0x1714
0x02 0110100|1000011 0x1A43
0x03 1000010|0010100 0x2114
0x04 1001000|0010100 0x2414
0x05 1001000|0011101 0x241D
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0001011|0000001 0x0581
0x01 0101001|0000010 0x1482
BX = 001 Event : 34
0x00 1011111|0000100 0x2F84
0x01 1110000|0010101 0x3815
0x02 1110001|0000100 0x3884
