BX = 000 Event : 1
1 0 0110000|011|0010 0x1832
1 1 0110111|110|0100 0x1BE4
1 2 0111000|010|0100 0x1C24
1 3 0111001|101|0111 0x1CD7
2 0 0111010|011|0000 0x1D30
2 1 0111011|011|0001 0x1DB1
3 0 0000011|110|0010 0x01E2
3 1 0000100|101|0100 0x0254
3 2 0000111|011|0101 0x03B5
5 0 0001111|001|0000 0x0790
5 1 0011001|000|0111 0x0C87
6 0 0011100|001|0000 0x0E10
6 1 0011110|111|0001 0x0F71
BX = 001 Event : 2
3 0 0000011|100|0111 0x01C7
3 1 0000101|000|0111 0x0287
4 0 0000111|100|0000 0x03C0
4 1 0001000|111|0000 0x0470
5 0 0010000|010|0000 0x0820
BX = 010 Event : 3
0 0 0100011|001|0000 0x1190
0 1 0100110|110|0011 0x1363
2 0 0101010|011|0001 0x1531
3 0 0000101|101|0011 0x02D3
4 0 0010111|101|0111 0x0BD7
6 0 0011011|111|0011 0x0DF3
6 1 0011100|111|0101 0x0E75
BX = 011 Event : 4
0 0 0100011|000|0000 0x1180
0 1 0100110|010|0011 0x1323
1 0 0101111|101|0101 0x17D5
3 0 0000011|001|0100 0x0194
4 0 0000101|110|0000 0x02E0
7 0 0011010|010|0000 0x0D20
7 1 0011011|011|0001 0x0DB1
7 2 0011100|000|0010 0x0E02
BX = 100 Event : 5
0 0 0110100|110|0000 0x1A60
2 0 0000000|010|0111 0x0027
2 1 0111100|100|0011 0x1E43
2 2 0111110|011|0110 0x1F36
3 0 0000001|100|0001 0x00C1
3 1 0000100|111|0100 0x0274
3 2 0000101|100|0100 0x02C4
3 3 0000111|110|0111 0x03E7
3 4 0001000|010|0111 0x0427
4 0 0001101|011|0000 0x06B0
4 1 0001111|110|0011 0x07E3
4 2 0010000|000|0101 0x0805
4 3 0110000|101|0011 0x1853
4 4 0110001|101|0101 0x18D5
4 5 0110010|100|0101 0x1945
5 0 0010010|010|0000 0x0920
5 1 0010110|010|0100 0x0B24
5 2 0011100|011|0111 0x0E37
BX = 101 Event : 6
1 0 0111000|111|0010 0x1C72
1 1 0111010|011|0100 0x1D34
1 2 0111100|010|0110 0x1E26
1 3 0111110|010|0111 0x1F27
2 0 1000001|011|0010 0x20B2
2 1 1000110|001|0110 0x2316
3 0 0010000|101|0101 0x0855
3 1 0010110|111|0110 0x0B76
3 2 0010111|011|0110 0x0BB6
3 3 0011010|011|0111 0x0D37
4 0 0011101|011|0111 0x0EB7
4 1 0011110|001|0111 0x0F17
5 0 0100001|001|0010 0x1092
5 1 0100010|000|0101 0x1105
6 0 0100101|010|0000 0x12A0
6 1 0100110|011|0000 0x1330
7 0 0101011|010|0111 0x15A7
BX = 110 Event : 7
0 0 0010101|010|0011 0x0AA3
0 1 0010110|110|0011 0x0B63
1 0 0010111|001|0010 0x0B92
1 1 0011001|000|0110 0x0C86
2 0 0011010|011|0011 0x0D33
3 0 0000000|110|0000 0x0060
3 1 0010010|101|0111 0x0957
4 0 0000101|111|0010 0x02F2
4 1 0000111|010|0011 0x03A3
5 0 0001011|100|0001 0x05C1
BX = 111 Event : 8
2 0 0000000|010|0111 0x0027
2 1 0110001|001|0001 0x1891
2 2 0110011|010|0001 0x19A1
2 3 0110100|011|0110 0x1A36
2 4 0110101|101|0110 0x1AD6
3 0 0000010|101|0010 0x0152
4 0 0000101|110|0000 0x02E0
4 1 0001010|110|0101 0x0565
4 2 0100110|000|0011 0x1303
5 0 0010110|111|0110 0x0B76
5 1 0010111|101|0111 0x0BD7
6 0 0011010|011|0011 0x0D33
7 0 0011110|101|0100 0x0F54
BX = 000 Event : 9
0 0 0111100|001|0011 0x1E13
1 0 1000011|010|0110 0x21A6
2 0 1001011|011|0101 0x25B5
3 0 0000001|111|0010 0x00F2
3 1 0000011|011|0110 0x01B6
4 0 0001010|011|0110 0x0536
5 0 0001111|001|0001 0x0791
5 1 0010110|111|0101 0x0B75
5 2 0010111|111|0101 0x0BF5
5 3 0011000|000|0101 0x0C05
5 4 0110110|001|0000 0x1B10
6 0 0100101|101|0101 0x12D5
6 1 0100111|101|0111 0x13D7
7 0 0101100|110|0111 0x1667
BX = 001 Event : 10
2 0 0000000|010|0111 0x0027
3 0 0000011|010|0001 0x01A1
3 1 0000100|011|0010 0x0232
3 2 0000111|101|0111 0x03D7
3 3 0001000|111|0111 0x0477
5 0 0010001|100|0111 0x08C7
6 0 0010100|001|0001 0x0A11
7 0 0011001|110|0001 0x0CE1
7 1 0011010|001|0010 0x0D12
BX = 010 Event : 11
3 0 0000001|110|0001 0x00E1
4 0 0001100|100|0000 0x0640
4 1 0001101|000|0000 0x0680
7 0 0100000|011|0010 0x1032
7 1 0100011|010|0010 0x11A2
7 2 0100100|010|0100 0x1224
BX = 011 Event : 12
0 0 0101111|110|0110 0x17E6
1 0 0110000|111|0000 0x1870
1 1 0110001|001|0000 0x1890
1 2 0110011|110|0010 0x19E2
1 3 0110100|000|0100 0x1A04
1 4 0110101|010|0100 0x1AA4
1 5 0110110|010|0100 0x1B24
1 6 0110111|100|0110 0x1BC6
2 0 0111010|000|0010 0x1D02
2 1 0111011|011|0101 0x1DB5
3 0 0000011|101|0001 0x01D1
3 1 0000100|011|0001 0x0231
5 0 0010001|011|0011 0x08B3
5 1 0010010|011|0011 0x0933
5 2 0010101|011|0100 0x0AB4
BX = 100 Event : 13
1 0 1000010|100|0000 0x2140
1 1 1001000|010|0100 0x2424
3 0 0000001|000|0000 0x0080
3 1 0000100|011|0011 0x0233
3 2 0001001|010|0100 0x04A4
3 3 0010010|100|0110 0x0946
4 0 0011100|010|0110 0x0E26
4 1 0011101|100|0110 0x0EC6
4 2 0011110|010|0110 0x0F26
6 0 0101100|110|0001 0x1661
BX = 101 Event : 14
0 0 0101001|110|0011 0x14E3
1 0 0101100|010|0110 0x1626
2 0 0000000|010|0110 0x0026
2 1 0101111|100|0001 0x17C1
2 2 0110001|101|0100 0x18D4
4 0 0001010|011|0000 0x0530
4 1 0001011|101|0000 0x05D0
4 2 0001110|011|0101 0x0735
4 3 0100100|000|0000 0x1200
