BX = 000 Event : 0
00 0101100|001110000011|01000110111110|111 0x587068df7
01 0001010|001110100101|01010000111000|001 0x1474aa1c1
02 0000000|001110110001|01100100111100|010 0x00762c9e2
03 0001010|001110100111|01100011011011|011 0x1474ec6db
04 0011101|001100101101|01100001111110|110 0x3a65ac3f6
05 0100111|011010000101|01000001101111|001 0x4ed0a8379
06 0100101|011010000110|01000001000000|001 0x4ad0c8201
07 0000110|001011100011|01001011010110|111 0x0c5c696b7
08 0110011|001010110110|01100101011001|010 0x6656ccaca
09 0011011|010000000010|01100000011011|010 0x36804c0da
