BX = 000 Event : 0
00 0011000|01100000|11010100100011100|0000|01|1 0x1860d48e03
01 0011101|01010111|11010010100000110|1111|01|1 0x1d57d2837b
02 0011101|01011100|11010010111110010|1010|01|1 0x1d5cd2f953
03 0011000|01010001|11010010011110001|0011|01|1 0x1851d2789b
04 0011101|01000010|11010000101010011|0010|01|1 0x1d42d0a993
05 1100111|01011100|11011001110011001|1111|00|1 0x675cd9ccf9
06 0011101|00101101|11010101101110101|0011|01|1 0x1d2dd5ba9b
07 1100011|00100111|11010010111111001|0000|00|1 0x6327d2fc81
08 0011101|00011101|11000100100110001|1010|01|1 0x1d1dc498d3
09 1100010|00100010|11011001101110110|1110|00|1 0x6222d9bb71
0a 1100010|00001101|11011100111100011|1010|00|1 0x620ddcf1d1
0b 1100001|00010010|11011101111001110|1010|00|1 0x6112dde751
0c 0011101|01101011|10111000011111010|0111|00|1 0x1d6bb87d39
0d 0011100|01011100|11000100101100001|0100|00|1 0x1c5cc4b0a1
0e 1100011|01110101|10001111110110010|0111|00|1 0x63758fd939
0f 1100110|01011100|10011100001110000|1010|00|1 0x665c9c3851
10 1100010|01001100|10010110110001011|0110|00|1 0x624c96c5b1
11 1100110|01000010|10100000000111101|0010|00|1 0x6642a01e91
12 1100011|00111100|10010010110110001|1011|00|1 0x633c92d8d9
13 1100111|00110010|10101100011100011|0110|00|1 0x6732ac71b1
14 1100001|00100010|10100010110000110|1111|00|1 0x6122a2c379
15 1100011|00100111|10010010110100000|1010|00|1 0x632792d051
16 1100011|00001101|10110000100001111|1111|00|1 0x630db087f9
17 1100011|00001101|10110001010101000|1100|00|1 0x630db15461
18 1100011|00010010|10010010010110000|1100|00|1 0x6312925861
19 1100010|00001101|10010100010110000|1010|00|1 0x620d945851
