BX = 000 Event : 1
0x00 0101100|0000110 0x1606
0x01 0101100|0001000 0x1608
BX = 001 Event : 2
0x00 0001000|0010011 0x0413
BX = 010 Event : 3
0x00 0001111|0010100 0x0794
BX = 011 Event : 4
0x00 0000111|0100100 0x03A4
0x01 0100011|0001010 0x118A
BX = 100 Event : 5
0x00 0001111|0011110 0x079E
0x01 0001111|0011111 0x079F
0x02 0011000|0000000 0x0C00
0x03 0011000|0001010 0x0C0A
BX = 101 Event : 6
0x00 0010010|0110000 0x0930
0x01 0010101|0000101 0x0A85
0x02 0010101|0000111 0x0A87
0x03 0010110|0000101 0x0B05
0x04 0010110|0000111 0x0B07
BX = 110 Event : 7
0x00 0001001|0010001 0x0491
0x01 0001001|0010010 0x0492
0x02 0001001|0010100 0x0494
0x03 0011001|0000001 0x0C81
0x04 0011010|0000001 0x0D01
0x05 0011100|0000001 0x0E01
0x06 0011101|0000001 0x0E81
BX = 111 Event : 8
0x00 0000110|0010000 0x0310
BX = 000 Event : 9
0x00 0000100|0010100 0x0214
0x01 0110001|0101111 0x18AF
0x02 0110111|0110101 0x1BB5
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0000100|0100000 0x0220
BX = 011 Event : 12
0x00 0001100|0011110 0x061E
0x01 0010011|0000001 0x0981
BX = 100 Event : 13
0x00 0000100|0100001 0x0221
0x01 0011010|0101111 0x0D2F
0x02 0011100|0101111 0x0E2F
0x03 0011100|0110001 0x0E31
BX = 101 Event : 14
0x00 0001001|0011101 0x049D
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0011100|0000010 0x0E02
BX = 000 Event : 17
0x00 0010001|0001000 0x0888
0x01 0010101|0001000 0x0A88
0x02 0010101|0001101 0x0A8D
0x03 0010110|0001101 0x0B0D
0x04 0010110|0010011 0x0B13
0x05 0100100|0101001 0x1229
0x06 0100111|0101001 0x13A9
BX = 001 Event : 18
0x00 0000011|0001010 0x018A
BX = 010 Event : 19
0x00 0000010|0010000 0x0110
0x01 0000011|0010000 0x0190
0x02 0000110|0011011 0x031B
0x03 0011001|0000000 0x0C80
0x04 0011011|0001000 0x0D88
0x05 0100010|0010000 0x1110
BX = 011 Event : 20
0x00 0110100|0111010 0x1A3A
0x01 0110100|0111011 0x1A3B
0x02 0111000|0111010 0x1C3A
0x03 0111000|0111011 0x1C3B
BX = 100 Event : 21
0x00 0100101|0000011 0x1283
0x01 0100101|0000110 0x1286
0x02 0110010|0101011 0x192B
BX = 101 Event : 22
0x00 0100100|0100010 0x1222
0x01 0100100|0100100 0x1224
0x02 0100110|0110000 0x1330
0x03 0100111|0110000 0x13B0
BX = 110 Event : 23
0x00 0011001|0001000 0x0C88
0x01 0011111|0001011 0x0F8B
0x02 0101100|0101100 0x162C
0x03 0101110|0101100 0x172C
0x04 0110000|0101100 0x182C
0x05 0110001|0101100 0x18AC
0x06 0110011|0110111 0x19B7
0x07 0110011|0111000 0x19B8
BX = 111 Event : 24
