BX = 000 Event : 1
0x00 0110001|0111001 0x18B9
0x01 0110010|0111001 0x1939
BX = 001 Event : 2
0x00 0011100|1000110 0x0E46
BX = 010 Event : 3
0x00 0010111|0100111 0x0BA7
0x01 0010111|0101000 0x0BA8
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0000010|0100010 0x0122
0x01 0000010|0100011 0x0123
0x02 0000010|0100100 0x0124
0x03 0000101|0101001 0x02A9
0x04 0000101|0101011 0x02AB
0x05 0011100|1010101 0x0E55
BX = 101 Event : 6
0x00 0000110|0010111 0x0317
BX = 110 Event : 7
0x00 0000010|1000100 0x0144
0x01 0001010|0011001 0x0519
0x02 0100110|0101100 0x132C
BX = 111 Event : 8
0x00 0000001|0011010 0x009A
0x01 0011000|1001011 0x0C4B
0x02 0110010|0111100 0x193C
BX = 000 Event : 9
0x00 0010111|0111111 0x0BBF
0x01 0010111|1000000 0x0BC0
BX = 001 Event : 10
0x00 0000001|0011000 0x0098
0x01 0000011|0011000 0x0198
0x02 0000100|0010111 0x0217
0x03 0000100|0011000 0x0218
0x04 0111011|0111000 0x1DB8
BX = 010 Event : 11
0x00 0000110|0010110 0x0316
0x01 0001000|0010111 0x0417
BX = 011 Event : 12
BX = 100 Event : 13
0x00 0100010|0110111 0x1137
0x01 0101000|0111101 0x143D
BX = 101 Event : 14
0x00 0010100|0101101 0x0A2D
BX = 110 Event : 15
0x00 0000000|0010001 0x0011
0x01 0000001|0010001 0x0091
0x02 0000011|0010000 0x0190
0x03 0000011|0010001 0x0191
0x04 0000011|0010011 0x0193
0x05 0110000|0101110 0x182E
BX = 111 Event : 16
0x00 0000101|0011110 0x029E
0x01 0000101|0011111 0x029F
0x02 0001010|0100101 0x0525
0x03 0001010|0100111 0x0527
0x04 0001010|0101000 0x0528
BX = 000 Event : 17
0x00 0001111|0110011 0x07B3
0x01 0001111|0110100 0x07B4
BX = 001 Event : 18
0x00 0010001|0100111 0x08A7
0x01 0010010|0100111 0x0927
BX = 010 Event : 19
0x00 0101000|1100001 0x1461
0x01 0101001|1100001 0x14E1
0x02 0110100|0010111 0x1A17
0x03 1010010|1010101 0x2955
0x04 1010010|1010111 0x2957
0x05 1010011|1010101 0x29D5
0x06 1010011|1010111 0x29D7
0x07 1010100|1010101 0x2A55
0x08 1010100|1010111 0x2A57
0x09 1010101|1010101 0x2AD5
0x0a 1010101|1010111 0x2AD7
0x0b 1010110|1010101 0x2B55
0x0c 1010110|1010111 0x2B57
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0101110|1101010 0x176A
0x01 0101110|1101011 0x176B
0x02 0110010|1101010 0x196A
0x03 0110010|1101011 0x196B
BX = 110 Event : 23
0x00 0001110|0100111 0x0727
0x01 0011111|1010101 0x0FD5
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0011000|1000110 0x0C46
BX = 010 Event : 27
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0001100|0100010 0x0622
BX = 101 Event : 30
0x00 0000001|0010001 0x0091
0x01 0000001|0010011 0x0093
0x02 0000011|0010001 0x0191
0x03 0000011|0010011 0x0193
BX = 110 Event : 31
0x00 0000100|1010101 0x0255
0x01 0001110|0110001 0x0731
0x02 0010000|0110001 0x0831
0x03 0010010|0110001 0x0931
0x04 0010011|0110001 0x09B1
BX = 111 Event : 32
0x00 0011110|1001001 0x0F49
0x01 0110111|0111010 0x1BBA
BX = 000 Event : 33
0x00 0000000|0011001 0x0019
0x01 0000001|0011001 0x0099
0x02 0011101|1010100 0x0ED4
BX = 001 Event : 34
BX = 010 Event : 35
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000001|0001101 0x008D
0x01 0011110|0001101 0x0F0D
BX = 101 Event : 38
0x00 0010101|0110001 0x0AB1
0x01 0010101|0110101 0x0AB5
0x02 0010101|0110110 0x0AB6
0x03 0011000|0011110 0x0C1E
0x04 0011111|0100111 0x0FA7
BX = 110 Event : 39
BX = 111 Event : 40
0x00 0000111|0010010 0x0392
0x01 0001000|0010010 0x0412
0x02 0001001|0010010 0x0492
0x03 0001100|0010010 0x0612
0x04 0001101|0010010 0x0692
0x05 0001111|0010010 0x0792
0x06 0110100|0110010 0x1A32
0x07 0111011|1000111 0x1DC7
BX = 000 Event : 41
BX = 001 Event : 42
0x00 0000111|0001110 0x038E
0x01 0011110|0110000 0x0F30
0x02 0011111|0110000 0x0FB0
0x03 0100001|0110000 0x10B0
BX = 010 Event : 43
0x00 0000100|0010000 0x0210
0x01 0000101|0010000 0x0290
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0010011|0101111 0x09AF
0x01 0010011|0110011 0x09B3
0x02 0111110|1001010 0x1F4A
0x03 0111110|1001011 0x1F4B
BX = 101 Event : 46
0x00 0101001|0110101 0x14B5
BX = 110 Event : 47
0x00 0001100|0101010 0x062A
0x01 0001100|0101101 0x062D
0x02 0001100|0110010 0x0632
0x03 0110111|1001001 0x1BC9
0x04 0110111|1001111 0x1BCF
0x05 0110111|1010100 0x1BD4
BX = 111 Event : 48
0x00 0010000|0011101 0x081D
0x01 0010000|0100001 0x0821
0x02 0010100|0011101 0x0A1D
0x03 0010100|0100001 0x0A21
0x04 0010101|0100001 0x0AA1
0x05 0011101|0100100 0x0EA4
BX = 000 Event : 49
0x00 0000001|0011001 0x0099
BX = 001 Event : 50
0x00 0110010|0110011 0x1933
BX = 010 Event : 51
0x00 0011010|1001001 0x0D49
0x01 0100000|1001000 0x1048
0x02 0100000|1001001 0x1049
0x03 0100000|1001011 0x104B
0x04 0100001|1001001 0x10C9
BX = 011 Event : 52
0x00 0000101|0010011 0x0293
BX = 100 Event : 53
0x00 0001011|0011001 0x0599
BX = 101 Event : 54
0x00 0100001|0101101 0x10AD
0x01 0100001|0101110 0x10AE
BX = 110 Event : 55
0x00 0000110|1001010 0x034A
0x01 0100000|1000100 0x1044
0x02 0100011|1000100 0x11C4
BX = 111 Event : 56
0x00 0000110|0100101 0x0325
0x01 0000111|0100101 0x03A5
0x02 0001001|0100101 0x04A5
BX = 000 Event : 57
0x00 0001000|0100010 0x0422
0x01 0001001|0100010 0x04A2
0x02 0011100|0010101 0x0E15
0x03 0110001|1001000 0x18C8
BX = 001 Event : 58
0x00 0011001|0111111 0x0CBF
0x01 0011001|1000000 0x0CC0
0x02 0100010|1001010 0x114A
0x03 0110000|0111101 0x183D
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0000011|1100000 0x01E0
0x01 0001000|0100001 0x0421
0x02 0001000|0100101 0x0425
0x03 0100011|1011001 0x11D9
0x04 0100011|1011100 0x11DC
0x05 0100101|1011100 0x12DC
0x06 0111001|1001111 0x1CCF
0x07 0111001|1010000 0x1CD0
0x08 0111010|1001111 0x1D4F
0x09 0111010|1010000 0x1D50
BX = 101 Event : 62
0x00 0101111|1001010 0x17CA
0x01 0101111|1001101 0x17CD
0x02 0110001|1001010 0x18CA
0x03 0110001|1001101 0x18CD
0x04 0111001|0111010 0x1CBA
BX = 110 Event : 63
0x00 0100100|0100010 0x1222
0x01 0100100|0100011 0x1223
BX = 111 Event : 64
0x00 0000011|0010000 0x0190
BX = 000 Event : 65
0x00 0001001|0011011 0x049B
0x01 0001010|0100010 0x0522
0x02 0001010|0100011 0x0523
0x03 0101100|0110110 0x1636
0x04 0101110|0111000 0x1738
0x05 0101110|0111001 0x1739
BX = 001 Event : 66
0x00 0000010|1001111 0x014F
0x01 0001100|0010101 0x0615
0x02 0011101|1000101 0x0EC5
0x03 0011110|1000101 0x0F45
0x04 0100001|1000101 0x10C5
0x05 0100001|1001001 0x10C9
BX = 010 Event : 67
0x00 0010001|0011111 0x089F
0x01 0011000|0100111 0x0C27
0x02 1000001|1000011 0x20C3
BX = 011 Event : 68
0x00 0001100|0101000 0x0628
0x01 0001101|0101010 0x06AA
0x02 0001110|0101010 0x072A
0x03 0011101|1001100 0x0ECC
0x04 0011111|1001100 0x0FCC
0x05 0100110|1001100 0x134C
0x06 0100110|1010110 0x1356
