BX = 000 Event : 1
2 0 0110011|001|000 0x0CC8
2 1 0110111|110|010 0x0DF2
3 0 0111111|000|010 0x0FC2
3 1 1000000|001|010 0x100A
3 2 1000100|110|110 0x1136
3 3 1000110|010|111 0x1197
4 0 1001011|010|100 0x12D4
6 0 0011010|010|001 0x0691
7 0 0100011|010|111 0x08D7
BX = 001 Event : 2
0 0 0101001|110|110 0x0A76
1 0 0110000|001|110 0x0C0E
1 1 0110010|101|110 0x0CAE
2 0 0110011|101|010 0x0CEA
2 1 0110100|010|010 0x0D12
2 2 0111000|110|111 0x0E37
3 0 1000000|100|010 0x1022
4 0 0010001|000|111 0x0447
4 1 0010010|000|111 0x0487
4 2 1000110|101|001 0x11A9
4 3 1000111|010|010 0x11D2
5 0 0011100|110|101 0x0735
7 0 0100010|001|100 0x088C
