BX = 000 Event : 1
0 0 0100101|000|001 0x0941
0 1 0100110|100|011 0x09A3
1 0 0101001|100|011 0x0A63
1 1 0101010|101|100 0x0AAC
1 2 0101011|100|101 0x0AE5
2 0 0101100|101|001 0x0B29
2 1 0101101|001|101 0x0B4D
2 2 0101111|000|100 0x0BC4
3 0 0011100|101|100 0x072C
3 1 0011101|000|100 0x0744
3 2 0011110|000|100 0x0784
3 3 0011111|100|101 0x07E5
4 0 0100000|000|000 0x0800
4 1 0100001|001|010 0x084A
5 0 0000101|011|001 0x0159
6 0 0001011|000|000 0x02C0
6 1 0001100|010|001 0x0311
6 2 0001110|000|110 0x0386
7 0 0010001|001|000 0x0448
7 1 0010010|000|111 0x0487
7 2 0010011|000|111 0x04C7
